Partial_Shading,Irradiance,Temperature,V_OC,I_SC,"P_MP,0","V_MP,0","I_MP,0","P_MP,1","V_MP,1","I_MP,1",V_0,I_0,V_1,I_1,V_2,I_2,V_3,I_3
0.5,1000,30,33.98,8.9999,88.03,11.355,7.7528,77.269,29.74,2.5982,15.785,2.7,10.71,8.1,12.679,6.6,31.558,2.2
0.5,1000,29,34.103,8.9999,88.552,11.386,7.7771,77.625,29.889,2.5972,15.846,2.7,10.632,8.2,12.752,6.6,31.681,2.2
0.5,1000,28,34.226,8.9999,89.069,11.384,7.8238,77.981,30.026,2.5971,15.906,2.7,10.719,8.2,12.683,6.7,31.819,2.2
0.5,1000,27,34.349,8.9999,89.593,11.451,7.8243,78.337,30.142,2.5989,15.967,2.7,10.792,8.2,12.798,6.7,31.942,2.2
0.5,1000,26,34.472,8.9999,90.118,11.541,7.8083,78.693,30.292,2.5978,16.027,2.7,10.813,8.2,12.928,6.6,32.075,2.2
0.5,1000,25,34.595,8.9999,90.642,11.591,7.8201,79.048,30.39,2.6011,16.088,2.7,10.935,8.2,12.987,6.6,32.211,2.2
0.5,1000,24,34.718,8.9999,91.162,11.601,7.8578,79.404,30.518,2.6019,16.148,2.7,10.743,8.3,12.948,6.7,32.338,2.2
0.5,1000,23,34.841,8.9999,91.686,11.649,7.8708,79.76,30.659,2.6015,16.208,2.7,10.852,8.3,13.01,6.7,32.468,2.2
0.5,1000,22,34.963,8.9999,92.215,11.72,7.8679,80.116,30.777,2.6031,16.269,2.7,10.928,8.3,13.075,6.7,32.6,2.2
0.5,1000,21,35.086,8.9999,92.74,11.831,7.8388,80.472,30.909,2.6035,16.329,2.7,11.205,8.2,13.18,6.7,32.728,2.2
0.5,1000,20,35.209,8.9999,93.266,11.885,7.8475,80.828,31.039,2.6041,16.39,2.7,11.247,8.2,13.195,6.7,32.863,2.2
0.4,1000,50,31.812,8.9998,105.69,13.496,7.8315,72.821,27.942,2.6061,18.082,2.7,12.729,8.2,14.944,6.7,29.601,2.2
0.4,1000,49,31.935,8.9998,106.33,13.519,7.8656,73.173,28.078,2.6061,18.155,2.7,12.612,8.3,15.041,6.7,29.729,2.2
0.4,1000,48,32.058,8.9998,106.97,13.541,7.8994,73.525,28.214,2.606,18.229,2.7,12.619,8.3,15.084,6.7,29.857,2.2
0.4,1000,47,32.181,8.9999,107.61,13.624,7.899,73.876,28.316,2.609,18.302,2.7,12.705,8.3,15.16,6.7,29.985,2.2
0.4,1000,46,32.304,8.9999,108.26,13.725,7.8877,74.229,28.452,2.6089,18.375,2.7,12.816,8.3,15.246,6.7,30.122,2.2
0.4,1000,45,32.427,8.9999,108.9,13.785,7.8997,74.581,28.587,2.6089,18.448,2.7,12.873,8.3,15.31,6.7,30.25,2.2
